# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
197,Acanto Boutique Hotel,Playa del Carmen,ACAN,1398239,"Acanto Boutique Hotel and Condominiums Playa del Carmen, Mexico",1286402,
762,"Acanto Hotel Playa del Carmen, Trademark Collection by Wyndham",Playa del Carmen,ACANTO,621550,"Acanto Playa del Carmen, Trademark Collection by Wyndham",1718033,
440,Adhara,Cancún,HACIEN,2312408,Adhara Express,612867,
735,Ado Cancun,Cancún,ADOCU,,,,
749,ADO Terminal Turistica Playa Del Carmen,Playa del Carmen,ADOPY,,,,
353,Adonis Tulum GAY RESORT & Spa,Tulúm,ADO,,,,
763,Ahau Tulum,Tulúm,AHAU,395565,Ahau Tulum,1398931,1752613
724,Ahava Hotel,Playa del Carmen,AHAVAH,2156705,Ahava Hotel by GuruHotel,,
298,Akumal Beach Resort,Tulúm,AKUB,171348,Akumal Bay Beach & Wellness Resort,1386737,
765,Alaya Tulum,Tulúm,ALA,781734,Alaya Tulum,,
178,Aldea Thai Luxury Condohotel,Playa del Carmen,ALDE,2293073,Aldea Thai Luxury Condos by Playa Rentals,,
462,All Ritmo Cancún Resort & Waterpark,Playa Mujeres,ALLRI,304977,All Ritmo Cancun Resort & Water Park,,
237,All Riviera Resort,Playa del Carmen,ALLR,298470,All Riviera Resort,1748322,
261,Allegro Playacar,Playa del Carmen,DVPC1,138001,Allegro Playacar,,
57,Aloft Cancun,Cancún,ALOF,303629,Aloft Cancun,,
766,Aluna Hotel Tulum,Tulúm,ALUNA,1752255,Aluna Hotel Tulum,,
768,Amansala Resort Hotel,Tulúm,AMANTU,,,,
767,Amarte Maroma Hotel Eco Boutique Spa,Playa del Carmen,AMAM,293445,Amarte Maroma Hotel Eco Boutique Spa,,
122,Ambiance Suites Cancún,Cancún,AMBIA,244187,Ambiance Suites Cancun,,
137,Ambiance Villas,Cancún,KINHA,,,,
693,Ana y Jose & Spa,Tulúm,CHARMING,640188,Ana y Jose Hotel & Spa Tulum,,
750,Andaz Mayakoba Riviera Maya,Playa del Carmen,ANDAZ,1104098,Andaz Mayakoba a Concept By Hyatt,,
769,Angelos Hotel,Playa del Carmen,ANGELO,,,,
701,Antera Hotel & Residences,Playa del Carmen,ANTERA,1748957,Antera Hotel & Residences,,
206,Aqualuna Hotel,Playa del Carmen,AQUAL,,,,
71,Aquamarina Beach,Cancún,AQUR1,2311938,Aquamarina Beach Hotel Cancun,2311937,13840
729,Aquamarina Suites,Playa del Carmen,AQUASU,1323161,Aquamarina Suites,,
669,Arena Blue Boutique Hotel,Tulúm,ARENABLUE,,,,
770,Arrecifes suites,Puerto Morelos,ARRE,2156975,Arrecifes Suites,,
662,Artia by Moskito Tulum,Tulúm,ARTIA,,,,
771,Artisan Senses Quinta Avenida - Adults Only,Playa del Carmen,ARTISENS,,,,
671,Atelier Playa Mujeres,Playa Mujeres,ATELIER,1731561,Atelier Playa Mujeres,,
120,Avalon Resort,Cancún,AVA,,,,
774,Aventura Mexicana Hotel,Playa del Carmen,AVMEX,298621,Aventura Mexicana Hotel,,
276,"Azul Beach Resort Riviera Cancun , BY Karisma",Puerto Morelos,AZULS,222840,Azul Beach Resort Riviera Cancun By Karisma,244326,2074712
758,Azul Villa Carola,Puerto Morelos,VILLAC,398380,Azul Villa Carola,,
292,Azul Villa Esmeralda,Puerto Morelos,AZULVE,,,,
775,Azulik,Tulúm,AZULIK,289450,Azulik,,
579,Bahia Hotel & Beach Resort,Los Cabos - Cabo San Lucas,BAHIBRC,244448,Bahia Hotel & Beach House,,
482,Bahia Principe Sian Ka'an,Tulúm,BAHIS,,,,
213,Bambu Suites,Playa del Carmen,BSU,289282,Bambu Suites,,
468,Banyan Tree Mayakoba,Playa del Carmen,BAYAN,171237,Banyan Tree Mayakoba,1377763,
537,Barcelo Gran Faro,Los Cabos - San Jose del Cabo,BARG,617214,Barceló Gran Faro Los Cabos,,
300,Barcelo Maya Beach and Caribe,Puerto Aventuras,BARCE,,,,
736,Barceló Maya Caribe,Puerto Aventuras,GARDEN,638504,Barceló Maya Caribe,,
306,Barcelo Maya Colonial and Tropical,Puerto Aventuras,BARCEC,,,,
309,Barcelo Maya Palace Deluxe,Puerto Aventuras,BARCEP,,,,
245,Barcelo Tropical,Puerto Aventuras,BARCET,621872,Barceló Maya Tropical,,
19,Barcelona Tower Suite,Cancún,TORREB,337492,Barcelona Tower Suite,,
428,Barracuda,Cozumel DownTown,BARRA,,,,
135,Bay View Grand Condominios,Cancún,BBGRAN,,,,
269,Be Playa,Playa del Carmen,BEPLA,636568,Be Playa Hotel,,
357,Be Tulum,Tulúm,BETULUM,269451,Be Tulum Beach & Spa Resort,,
86,Beach Palace,Cancún,BEACH,78436,Beach Palace,,
111,Beachscape Kin Ha Villas and Suites,Cancún,BEACHS,618684,Beachscape Kin Ha Villas & Suites CancÃºn,,
123,Bel Air Collection Resort and Spa Cancún,Cancún,BELA,2075785,Bel Air Collection Resort & Spa Riviera Maya,54941,
312,Bel Air Collection Xpu Ha Riviera Maya,Puerto Aventuras,BELAIR,1401871,Bel Air Collection Resort And Spa Xpu Ha Riviera Maya,,
