# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
1758, Bungalows Hotel Mar-Sol By Rotamundos ,Z. Dorada Mazatlan,BHR2WF,,,,
1626, Capital O Veracruz Suites,Hoteles Veracruz,CVSWF,,,,
1630, City Express Junior Veracruz Aeropuerto ,Hoteles Veracruz,CEJWF,,,,
1641, Grand Hotel Plaza Veracruz ,Hoteles Veracruz,GHV1WF,,,,
2336,1850 Hotel Boutique,Hoteles Guanajuato,0,,,,
1354,40 Cañones,Hoteles Mahahual,CANON,,,,
1815,Aabilo ob Hostel,Hoteles en Progreso,ABHTWF,,,,
1494,Abbey Hotel Puerto Vallarta,Centro y Romántica,AHPWF,,,,
1900,AC Hotel By Marriot Santa Fe,Zona Santa Fe - CDMX,ACMFWF,,,,
197,Acanto Boutique Hotel,Playa del Carmen,ACAN,1398239,"Acanto Boutique Hotel and Condominiums Playa del Carmen, Mexico",1286402,
762,"Acanto Hotel Playa del Carmen, Trademark Collection by Wyndham",Playa del Carmen,ACANTO,621550,"Acanto Playa del Carmen, Trademark Collection by Wyndham",1718033,
1082,Acapulco Malibu,Zona Dorada Acapulco,MALIBU,,,,
1091,Acapulco Tortuga,Zona Dorada Acapulco,ACAT,,,,
1750,Acqua Grand Resort,Z. Dorada Mazatlan,ACQ2WF,,,,
440,Adhara,Cancún,HACIEN,2312408,Adhara Express,612867,
735,Ado Cancun,Cancún,ADOCU,,,,
749,ADO Terminal Turistica Playa Del Carmen,Playa del Carmen,ADOPY,,,,
353,Adonis Tulum GAY RESORT & Spa,Tulúm,ADO,,,,
1609,Aeropuerto de Mérida,Aeropuerto de Mérida,APTOM,,,,
1381,Agave Blue Bacalar,Hoteles Bacalar,AGBL,,,,
2140,Agrado Guest House,Oaxaca - Zona 1,0,,,,
1109,Agua Azul la Villa,Bahia de Conejos,AGUAZ,,,,
763,Ahau Tulum,Tulúm,AHAU,395565,Ahau Tulum,1398931,1752613
724,Ahava Hotel,Playa del Carmen,AHAVAH,2156705,Ahava Hotel by GuruHotel,,
2411,Akumal Bay Resort,Akumal,AKUBA,,,,
298,Akumal Beach Resort,Tulúm,AKUB,171348,Akumal Bay Beach & Wellness Resort,1386737,
1893,Alameda Centro Historico,Zona Centro - CDMX,ACHTWF,,,,
1894,Alameda House,Zona Centro - CDMX,AMHSWF,,,,
1895,Alameda Luxury Lofts,Zona Centro - CDMX,ALXLWF,,,,
765,Alaya Tulum,Tulúm,ALA,781734,Alaya Tulum,,
178,Aldea Thai Luxury Condohotel,Playa del Carmen,ALDE,2293073,Aldea Thai Luxury Condos by Playa Rentals,,
1961,Alebrije Hotel Boutique,Hoteles en Guadalajara,AHBGWF,,,,
1171,Alikar,Bahía de Chahué,ALI,,,,
1346,All Business Hotel,Hoteles Chetumal,ALLBU,,,,
462,All Ritmo Cancún Resort & Waterpark,Playa Mujeres,ALLRI,304977,All Ritmo Cancun Resort & Water Park,,
237,All Riviera Resort,Playa del Carmen,ALLR,298470,All Riviera Resort,1748322,
261,Allegro Playacar,Playa del Carmen,DVPC1,138001,Allegro Playacar,,
1751,Alo Select Mazatlan,Z. Dorada Mazatlan,ALO2WF,,,,
57,Aloft Cancun,Cancún,ALOF,303629,Aloft Cancun,,
1434,Aloft Tulum,Tulúm,ALOTUL,,,,
1393,AlterHome Hotel Nachancan,Hoteles Chetumal,ALHON,,,,
766,Aluna Hotel Tulum,Tulúm,ALUNA,1752255,Aluna Hotel Tulum,,
1137,AM Hotel & Plaza,La Crucesita,AMHO,,,,
1816,AMA Yucatan,Hoteles en Progreso,AYUCWF,,,,
768,Amansala Resort Hotel,Tulúm,AMANTU,,,,
767,Amarte Maroma Hotel Eco Boutique Spa,Playa del Carmen,AMAM,293445,Amarte Maroma Hotel Eco Boutique Spa,,
122,Ambiance Suites Cancún,Cancún,AMBIA,244187,Ambiance Suites Cancun,,
137,Ambiance Villas,Cancún,KINHA,,,,
2244,Amor Boutique Hotel,"Sayulita, San Pancho",0,,,,
1615,Amueblados Caribe,Hoteles Veracruz,ACAWF,,,,
1617,Amueblados del mar,Hoteles Veracruz,ADMWF,,,,
693,Ana y Jose & Spa,Tulúm,CHARMING,640188,Ana y Jose Hotel & Spa Tulum,,
2141,Andaina Hostel,Oaxaca - Zona 1,0,,,,
750,Andaz Mayakoba Riviera Maya,Playa del Carmen,ANDAZ,1104098,Andaz Mayakoba a Concept By Hyatt,,
1619,Ángeles Suites & Hotel,Hoteles Veracruz,ASHWF,,,,
