# destino_id,destino_nombre_es
197,1850 Hotel Boutique
440,Aabilo ob Hostel
735,Abbey Hotel Puerto Vallarta
749,AC Hotel By Marriot Santa Fe
353,Acanto Boutique Hotel
763,"Acanto Hotel Playa del Carmen, Trademark Collection by Wyndham"
724,Acapulco Malibu
298,Acapulco Tortuga
765,Acqua Grand Resort
178,Adhara
462,Ado Cancun
237,ADO Terminal Turistica Playa Del Carmen
261,Adonis Tulum GAY RESORT & Spa
57,Aeropuerto de Mérida
766,Agave Blue Bacalar
768,Agrado Guest House
767,Agua Azul la Villa
122,Ahau Tulum
137,Ahava Hotel
693,Akumal Bay Resort
750,Akumal Beach Resort
769,Alameda Centro Historico
701,Alameda House
206,Alameda Luxury Lofts
71,Alaya Tulum
729,Aldea Thai Luxury Condohotel
669,Alebrije Hotel Boutique
770,Alikar
662,All Business Hotel
771,All Ritmo Cancún Resort & Waterpark
671,All Riviera Resort
120,Allegro Playacar
774,Alo Select Mazatlan
276,Aloft Cancun
758,Aloft Tulum
292,AlterHome Hotel Nachancan
775,Aluna Hotel Tulum
579,AM Hotel & Plaza
482,AMA Yucatan
213,Amansala Resort Hotel
468,Amarte Maroma Hotel Eco Boutique Spa
537,Ambiance Suites Cancún
300,Ambiance Villas
736,Amor Boutique Hotel
306,Amueblados Caribe
309,Amueblados del mar
245,Ana y Jose & Spa
19,Andaina Hostel
428,Andaz Mayakoba Riviera Maya
135,Ángeles Suites & Hotel
269,Angelos Hotel
357,Antelar Casa Destino
86,Antera Hotel & Residences
111,Antigua Trece Hotel Fusión
123,Apartamento en Condominio de Lujo en Progreso
312,Apartamentos Torre II Condominios
136,Apartments Tukano by 40 Cañones
761,AQ Hotel
17,Aqualuna Hotel
401,Aquamarina Beach
706,Aquamarina Suites
325,Aquastar Hotel and Apartments
235,Aranzazu Centro Historico Guadalajara
321,Arcoiris Tulum
580,Arcos Aeropuerto
495,Arena Blue Boutique Hotel
777,"Armar House, All-Inclusive"
20,Arrecifes suites
778,Art 57 Hotel
355,Art 64 Hotel Boutique - Adults Only
535,Artia by Moskito Tulum
556,Artisan Senses Quinta Avenida - Adults Only
577,Aruma Luxury Suites Mahahual
779,Atelier Playa Mujeres
899,Autohotel La Escondida
726,AV Inn Hotel
40,Avalon Resort
561,Ave Vivo Playa Palmarito
129,Aventura Mexicana Hotel
48,Axkan Arte Hotel Tuxtla
2,Azteca Inn
6,"Azul Beach Resort Riviera Cancun , BY Karisma"
266,Azul Cielo Hostel
32,Azul Ixtapa
666,Azul Sirena Huatulco
547,Azul Villa Carola
364,Azul Villa Esmeralda
575,Azulik
787,Bacalar 777 Hotel Boutique
254,Bahia Hotel & Beach Resort
895,Bahia Principe Sian Ka'an
260,Balajú Hotel & Suites
43,Balamku Hotel Cafe
783,Bali Hai
365,Bambu Suites
705,Banyan Tree Mayakoba
785,Barcelo Gran Faro
327,Barceló Huatulco
323,Barceló Ixtapa
333,Barceló Karmina
